category,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年
消費支出,3374494,3278199,3238022,3197186,3213351,3198092,3097033,3138316,3135668,3044643,3027938,2966673,2971816,3018910,3017778,2965515,2909095,2921476,2956782,2996452,2802811,2821442,2930777,2967861
食料,865711,838846,833521,813349,812367,799817,783561,794255,800434,782693,772546,766320,768690,780450,792776,812646,814503,811232,813023,819064,800137,792706,815241,860624
穀類,75435,72220,70541,71830,72265,67230,65121,65651,68699,68697,66147,65432,65707,64477,63156,62718,62696,62375,62976,62863,65314,62569,61858,63970
米,32769,31105,29539,30310,30539,27191,25338,24932,25424,24914,23315,22488,23276,22672,20194,18249,18634,18917,19374,18052,18503,16962,15236,15596
パン,23438,22327,22506,22906,23388,22243,22410,23041,23957,24279,23773,23767,23751,23524,24453,25378,25102,24723,25213,26304,25551,25415,26177,27120
麺類,15607,15253,15074,15150,14976,13877,13546,13691,15000,15288,15124,15203,14685,14345,14296,14639,14462,14172,14148,14259,16510,15671,15826,16640
他の穀類,3621,3535,3421,3464,3362,3919,3828,3987,4318,4216,3936,3974,3996,3937,4213,4452,4498,4562,4241,4248,4749,4521,4619,4615
魚介類,90520,86979,84577,80491,77280,76152,74652,74645,72752,70272,67055,64441,63620,64282,64782,65648,64157,61846,59257,58302,60731,58649,57218,58049
生鮮魚介,55185,52506,51599,48861,46483,45416,44493,44284,42201,40751,38645,36673,35975,36430,36613,36999,36272,34381,32586,32181,33566,32778,30931,31260
塩干魚介,16349,15860,15249,14751,14205,14311,13901,13915,13804,13093,12564,12127,11844,11958,11894,12083,11702,11497,11050,10553,10964,10234,10169,10561
魚肉練製品,8424,8406,7803,7533,7427,7347,7267,7384,7845,7700,7370,7213,7314,7144,7298,7327,7197,7077,6775,6776,6925,6846,7191,7280
他の魚介加工品,10562,10207,9926,9346,9165,9078,8991,9062,8903,8728,8476,8428,8486,8749,8976,9239,8986,8891,8846,8793,9277,8792,8928,8948
肉類,63951,59103,58682,58755,58250,59633,58876,60437,63537,61828,59716,60392,59192,62156,66498,68708,68729,69388,69457,67889,74179,72388,71715,73346
生鮮肉,49616,45677,45539,45649,45525,46784,46030,47159,49702,48153,46309,46714,45630,48235,51990,54300,54522,55264,55847,53981,59355,57985,57575,59020
加工肉,14335,13425,13143,13107,12725,12849,12846,13278,13836,13675,13407,13679,13562,13921,14507,14409,14207,14124,13611,13908,14824,14403,14140,14327
乳卵類,37579,35388,35989,35209,34063,34178,32962,32417,32622,32561,32544,32334,33193,33833,34882,36107,37320,37286,37233,37296,39712,38635,37689,41056
牛乳,18209,17110,17101,17103,16437,15679,14865,14391,13933,13738,13498,12851,12698,12779,12535,12836,12654,12477,12229,12381,12755,11844,11745,12530
乳製品,12009,11308,11914,11476,11195,11200,11237,11205,11466,11844,12224,12473,13836,14364,15034,15898,17115,17233,17425,17627,18876,18647,17924,18389
卵,7360,6969,6974,6630,6431,7298,6860,6820,7222,6979,6821,7010,6659,6689,7313,7372,7550,7576,7579,7289,8081,8144,8020,10138
野菜・海藻,92870,90614,88965,88766,88232,86114,85109,84661,84556,82869,83802,82430,81454,83343,84365,87695,88219,86908,87935,83376,89521,85063,83851,84864
生鮮野菜,55791,54649,53544,53774,53909,52402,52516,52362,52595,52014,53922,52778,52716,54446,55482,58327,58727,57429,58210,54316,59608,56525,55839,56074
乾物・海藻,9023,8816,8624,8784,8448,8808,8202,7973,7859,7827,7421,7322,7004,7235,7271,7417,7498,7498,7484,7437,7519,7035,6899,6853
大豆加工品,12858,12508,12622,12476,12381,12012,11841,11814,11687,11257,10865,10596,10403,10551,10527,10832,10787,10706,10862,10697,11052,10517,10316,10946
他の野菜・海藻加工品,15198,14640,14175,13731,13495,12893,12550,12512,12415,11772,11593,11734,11331,11111,11085,11118,11207,11275,11379,10926,11342,10986,10797,10991
果物,38305,37652,36532,34283,34400,33808,32088,33490,32418,31518,31529,31104,31816,31663,32573,33294,33676,32990,32794,32779,33912,34088,33720,34920
生鮮果物,36549,35902,34874,32587,32819,32209,30536,31947,31002,30041,29956,29461,29989,29748,30352,30853,31173,30289,29969,29918,30854,30974,30729,31653
果物加工品,1756,1751,1658,1696,1581,1600,1552,1544,1416,1477,1573,1643,1826,1915,2221,2441,2503,2701,2825,2862,3059,3114,2991,3266
油脂・調味料,33095,31994,31980,32067,31957,31537,31146,31602,33082,33178,32380,32773,32530,32514,33076,34283,34326,34676,34910,34646,37502,36628,36520,37355
油脂,3496,3329,3420,3351,3418,3360,3271,3396,3776,3607,3281,3204,3215,3347,3403,4020,3668,3633,3660,3777,3987,3922,4184,4154
